AAN CN Equity,ATON RESOURCES INC,Venture,63.73,30870.4
KFR CN Equity,KINGFISHER METAL CORP,Venture,63.57,1146943.0
RYR CN Equity,ROYAL ROAD MINERALS LTD,Venture,63.1,306274.2
BRW CN Equity,BRUNSWICK EXPLORATION INC,Venture,62.27,964881.9
QZM CN Equity,QUARTZ MOUNTAIN RESOURCES LT,Venture,62.18,88798.0
UG CN Equity,UPSIDE GOLD CORP,Canadian Sec,61.63,71557.2
IVS CN Equity,INVENTUS MINING CORP,Venture,60.45,270650.1
ESAU CN Equity,ESGOLD CORP,Canadian Sec,60.37,347783.6
RK CN Equity,ROCKHAVEN RESOURCES LTD,Venture,60.02,327020.3
MD CN Equity,MIDLAND EXPLORATION INC,Venture,58.75,110107.3
MUN CN Equity,MUNDORO CAPITAL INC,Venture,57.92,217177.3
MSM CN Equity,METALSOURCE MINING INC,Canadian Sec,56.81,572873.6
LVG CN Equity,LAKE VICTORIA GOLD LTD,Venture,56.64,564849.4
FOR CN Equity,FORTUNE BAY CORP,Venture,56.5,178786.7
RGC CN Equity,RELEVANT GOLD CORP,Venture,56.49,108259.8
ALEX CN Equity,ALPHA EXPLORATION LTD,Venture,56.18,25552.03
GUN CN Equity,GUNPOINT EXPLORATION LTD,Venture,55.59,27278.77
MMET CN Equity,MIATA METALS CORP,Canadian Sec,55.03,546064.8
VRDR US Equity,VERDE RESOURCES INC,OTC US,54.16,65873.77
VIO CN Equity,VIOR GOLD CORP INC,Venture,54.03,1009409.0
GLDC CN Equity,CASSIAR GOLD CORP,Venture,53.08,1338350.0
ELRE US Equity,YINFU GOLD CORP,OTC US,52.94,226.27
FRG CN Equity,FORGE RESOURCES CORP,Canadian Sec,52.66,135516.6
A-H CN Equity,ARMOR MINERALS INC,Venture,52.1,4539.3
PAU CN Equity,PROVENANCE GOLD CORP/CA,Canadian Sec,50.89,802471.1
MRZ CN Equity,MIRASOL RESOURCES LTD,Venture,50.47,103027.5
JUGR CN Equity,JUGGERNAUT EXPLORATION LTD,Venture,50.18,190410.5
RYES US Equity,RISE GOLD CORP,OTC US,49.21,112272.13
PX CN Equity,PELANGIO EXPLORATION INC,Venture,48.92,304720.7
KNG CN Equity,KINGSMEN RESOURCES LTD,Venture,48.88,231687.3
HWG CN Equity,HEADWATER GOLD INC,Canadian Sec,47.36,97321.66
YMC CN Equity,YUKON METALS CORP,Canadian Sec,47.15,197421.4
EMNT CN Equity,EMINENT GOLD CORP,Venture,46.81,407635.1
TIG CN Equity,TRIUMPH GOLD CORP,Venture,46.29,414883.8
NVO CN Equity,NOVO RESOURCES CORP,Toronto,46.1,1673361.0
NPR CN Equity,NORTH PEAK RESOURCES LTD,Venture,46.07,44217.8
KLDC CN Equity,KIRKLAND LAKE DISCOVERIES CO,Venture,45.94,456583.4
CANX CN Equity,CANEX METALS INC,Venture,45.91,487825.6
ROAR CN Equity,LION ROCK RESOURCES INC,Venture,45.73,395113.9
USGD CN Equity,AMERICAN PACIFIC MINING CORP,Canadian Sec,45.0,2184345.0
TK CN Equity,TINKA RESOURCES LTD,Venture,44.78,522715.1
MLM CN Equity,MCFARLANE LAKE MINING LTD,Canadian Sec,44.47,1465897.0
CAM CN Equity,CASCADIA MINERALS LTD,Venture,44.09,464958.6
GFG CN Equity,GFG RESOURCES INC,Venture,43.86,569098.8
EOX CN Equity,EUROMAX RESOURCES LTD,Venture,43.84,130413.4
PRNC CN Equity,PRINCE SILVER CORP,Canadian Sec,42.39,247651.3
GRC CN Equity,GOLD SPRINGS RESOURCE CORP,Toronto,41.94,80508.57
RSM CN Equity,RESOURO STRATEGIC METALS INC,Venture,41.42,257668.1
MCI CN Equity,MINNOVA CORP,Venture,41.35,342068.4
KG CN Equity,KLONDIKE GOLD CORP,Venture,40.62,591180.5
PNTR CN Equity,PANTERA SILVER CORP,Venture,40.43,518284.0
BHS CN Equity,BAYHORSE SILVER INC,Venture,38.77,1706408.0
RSG CN Equity,ROCKY SHORE GOLD LTD,Canadian Sec,38.24,310332.0
BTR CN Equity,BONTERRA RESOURCES INC,Venture,38.23,637393.3
REVX CN Equity,REV EXPLORATION CORP,Venture,37.86,527731.3
AMM CN Equity,ALMADEN MINERALS LTD - B,Venture,36.4,107895.8
DAU CN Equity,DESERT GOLD VENTURES INC,Venture,36.03,1805458.0
QIM CN Equity,QUIMBAYA GOLD INC,Canadian Sec,34.5,592541.6
BAU CN Equity,BLUE STAR GOLD CORP,Venture,34.48,126855.4
AUOZ CN Equity,EMPEROR METALS INC,Canadian Sec,34.39,888638.6
SBMI CN Equity,SILVER BULLET MINES CORP,Venture,33.92,486103.3
CDA CN Equity,CANUC RESOURCES CORP,Venture,33.79,18742.61
PHNM CN Equity,PHENOM RESOURCES CORP,Venture,33.52,281764.5
GBU CN Equity,GABRIEL RESOURCES LTD,Venture,33.27,97282.77
QGR CN Equity,Q-GOLD RESOURCES LTD,Venture,33.24,364744.7
WRR CN Equity,WALKER RIVER RESOURCES CORP,Venture,33.14,166080.2
TWR CN Equity,TOWER RESOURCES LTD,Venture,32.92,227341.4
PUMA CN Equity,PUMA EXPLORATION INC,Venture,32.75,435876.5
KING CN Equity,KING GLOBAL VENTURES INC,Canadian Sec,32.38,18428.1
TNR CN Equity,TNR GOLD CORP,Venture,31.8,250621.7
VAU CN Equity,VIVA GOLD CORP,Venture,30.97,311713.7
KRI CN Equity,KOBO RESOURCES INC,Venture,30.93,309594.2
TGOL CN Equity,THUNDER GOLD CORP,Venture,30.87,1267290.0
SPMC CN Equity,SOUTH PACIFIC METALS CORP,Venture,30.42,207855.3
RDG CN Equity,RIDGELINE MINERALS CORP,Venture,30.02,501295.0
ATCX US Equity,ATLAS CRITICAL MINERALS CORP,NASDAQ CM,29.98,148319.83
TSLV CN Equity,TIER ONE SILVER INC,Venture,29.75,998322.4
TT CN Equity,TOTAL METALS CORP,Venture,29.11,280955.9
JG CN Equity,JAPAN GOLD CORP,Venture,28.98,467014.7
NCP CN Equity,NICKEL CREEK PLATINUM CORP,Venture,28.98,20861.5
TUF CN Equity,HONEY BADGER SILVER INC,Venture,28.53,608163.9
YRB CN Equity,YORBEAU RESOURCES INC-CL A,Toronto,28.52,210530.8
XGC CN Equity,XALI GOLD CORP,Venture,28.36,329922.9
GEMG CN Equity,GEMDALE GOLD INC,Venture,28.3,
MSV CN Equity,MINCO SILVER CORP,Toronto,28.04,110964.6
STE CN Equity,STARR PEAK MINING LTD,Venture,27.69,223230.9
TRR CN Equity,TERRA ROSSA GOLD LTD,Venture,27.28,86842.43
IGO CN Equity,INDEPENDENCE GOLD CORP,Venture,26.96,1427676.0
SRC CN Equity,STAKEHOLDER GOLD CORP,Venture,26.67,26777.4
DEC CN Equity,DECADE RESOURCES LTD,Venture,26.65,2765907.0
NAM CN Equity,NEW AGE METALS INC,Venture,26.65,482200.3
SGC CN Equity,SOLSTICE GOLD CORP,Venture,26.58,680013.9
JZR CN Equity,JZR GOLD INC,Venture,26.27,305893.1
BAR CN Equity,BARRANCO GOLD MINING CORP,Canadian Sec,26.08,13663.2
SXTY CN Equity,SIXTY NORTH GOLD MINING LTD,Canadian Sec,25.51,154293.2
GMV CN Equity,GMV MINERALS INC,Venture,25.14,1074004.0
SEAS CN Equity,DEEP SEA MINERALS CORP,Canadian Sec,25.1,107253.8
AUST US Equity,AUSTIN GOLD CORP,NYSEAmerican,25.08,2941172.0
ZAU CN Equity,ZODIAC GOLD INC,Venture,24.88,435237.5
OCI CN Equity,ORECAP INVEST CORP,Venture,24.83,265633.4
NBRK CN Equity,NEW BREAK RESOURCES LTD,Canadian Sec,24.81,213009.7
ALGR CN Equity,ALGO GRANDE COPPER CORP,Venture,24.6,136360.1
OOR CN Equity,OPUS ONE GOLD CORP,Venture,24.33,359355.9
RAGE CN Equity,RENEGADE GOLD INC,Venture,24.04,134470.1
SAE CN Equity,SABLE RESOURCES LTD,Venture,23.98,1447067.0
DLTA CN Equity,DELTA RESOURCES LTD,Venture,23.76,706200.2
LOT CN Equity,TOMAGOLD CORP,Venture,23.69,1068559.0
SWA CN Equity,SARAMA RESOURCES LTD,Venture,23.15,95142.3
CSR CN Equity,COPPER STANDARD RESOURCES IN,Canadian Sec,23.12,16136.23
